Product Name,Over_All_Rating,Price,Date,Rating,Name,Comment
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,10 June 2024,4,Chetans Sharma,Nice 
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,24 June 2024,4,Yaman,"Quality wise it is good, but I expected colors to be as vibrant as they look in the pictures. They are more or less dull as recieved. Cloth is of high gsm which gives good look.  Nevertheless tshirts are comfortable to wear, overall a good buy."
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,3 June 2024,5,Vansh Kapoor,This is the best tee I have ever worn in my life best quality and fitting too for the best price great work TSS
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,16 May 2024,5,Shobhit Singh,Amazing product and quality of the product was great. 
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,18 Nov 2024,5,Melbin,Quality if the material is really good! I have no complaints!
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,10 May 2024,5,Nidhi Kumari,Best tshirt 
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,8 July 2024,4,Mary Pegu,Loved it
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,2 Sept 2024,5,Ankit Kumar,"Nice

"
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,3 June 2024,5,Jayesh,I bought L for oversized when my regular size is 42/xl. Perfect fit and great material.
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,2 June 2024,5,Kaushik B,It's soooo goood
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,31 Dec 2023,5,Ishana,good
Buy The Souled Store Blue Round Neck Oversized Pure Cotton T Shirt  - Tshirts for Men 24028810 | Myntra,4.5,₹799,7 Sept 2024,4,Anik Roy,Not bad
